smiles_harmonized,BileAcid_delta_count,has_primaryAmine,has_secondaryAmine,has_carboxylicAcid,has_alcohol,has_phenol,has_alkene,has_thiol,has_ester,has_phosphate,has_ketone,has_aldehyde,data_source_is,synonyms,mf,monomass,inchikey,csv_file_name,dbid_Broad,dbid_chembl,dbid_FoodDB,dbid_CyanoMetDB,dbid_drugbank,dbid_drugCentral,dbid_HMDB,dbid_PolyphenolDBc,dbid_PolyphenolDBm,dbid_PubChem,dbid_PubChemLite,dbid_NORMAN,dbid_T3DB,delta_mass_for_BAs,commercially_available
CCCC,350.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","BUTANE, Butane, Alkanes, Dibutylmagnesium, Aluminum, dibutylchloro-, sec-Butylmagnesium chloride, Magnesium, bis(1-methylpropyl)-, Butane;methane, Butylmagnesium chloride, Magnesium, butylethyl-, Magnesium, butylmethyl-, Magnesium, butyl(1-methylpropyl)-, Aluminum, tributyl-, Oxidase, alcohol, Stannane, ((dimethylthiocarbamoyl)thio)tributyl-, Bromobutylmagnesium, Zinc, dibutyl-, Butane-1-13C, Butane-1,1,1-d3, Butane-1,4-13C2, Butane-1,1,1,4,4,4-d6, Butane-d10, (~13~C_4_)Butane, Tributylaluminum, Sodium aluminum ethylbutyldihydride, Tri-n-butylaluminum, n-Butane",C5H14,74.10955045,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3","chembl_final.csv, Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL134702,"FDB000759, FDB007022",,,,HMDB0302951,,,"7843, 70929, 77077, 84884, 86589, 94630, 101837, 112818, 116882, 162398, 16682950, 73555276, 209780, 101836, 545193, 11535546, 12205548, 13378975, 16213390, 16213391, 71309065","7843, 77077, 16682950, 22886023",NS00008355,"T3D1558, T3D3426",56.09899045,True
C1CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","CYCLOHEXANE, Cyclohexane, Bis(benzene)chromium, Cyclohexylmagnesium chloride, Cyclohexane-d12, Cyclohexylzinc bromide, Zinc, dicyclohexyl-, Bromozinc(1+);cyclohexane, cyclohexylzinc(II) bromide",C6H12,84.09390038,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,"chembl_final.csv, Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL15980,FDB000761,,,,HMDB0029597,,,"8078, 11984611, 13605, 123129, 4385789, 6097048, 6099374, 21952820",8078,NS00003725,"T3D1427, T3D3467",66.08334038,True
CN1CCCC1=O,57.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, drugbank, PubChem, PubChem Lite, NORMAN, T3DB","METHYLPYRROLIDONE, Methyl pyrrolidone, 1-Methyl-2-pyrrolidinone, 1-Methylpyrrolidin-2-one;trichloroalumane;trichlorotitanium, N-Methyl-d3-2-pyrrolidinone-d6, 1-METHYL-2-PYRROLIDINONE, N-Methyl-2-pyrrolidone, 1-Methyl-2-pyrrolidone",C5H9NO,99.0684,SECXISVLQFMRJM-UHFFFAOYSA-N,"chembl_final.csv, drugbank_final.tsv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_jcooafRXkeumxRncm6RQ9h8oSUgft4859RyUde4NhnTuFLo_Agrochemical Information.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL12543,,,DB12521,,,,,"13387, 91668005, 16217555",13387,NS00009178,T3D4946,81.05784,True
c1ccc2ccccc2c1,107.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","NAPHTHALENE, Naphthalene, Magnesium, bromo-1-naphthalenyl-, Naphthalene-d8, 2-Naphthylmagnesium bromide, Naphthalene-1-13C, Naphthalene-13C6, Naphthalene-13C10, Naphthalene-1,2,3,4-13C4, naphthalene",C10H8,128.0626003,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,"chembl_final.csv, Compound_foodDB.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_jcooafRXkeumxRncm6RQ9h8oSUgft4859RyUde4NhnTuFLo_Agrochemical Information.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL16293,FDB000954,,,,HMDB0029751,,,"931, 11831277, 92148, 11195619, 12199710, 46782440, 46782441, 71309158",931,NS00008377,T3D0078,110.0520403,True
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,,0,0,0,0,0,0,0,3,0,0,0,"chembl, FoodDB, drugbank, HMDB, PubChem, PubChem Lite, NORMAN","TRIBUTYRIN, Glycerol tributanoate, Tributyrin, Glycerol tributyrate",C15H26O6,302.1729386,"InChI=1S/C15H26O6/c1-4-7-13(16)19-10-12(21-15(18)9-6-3)11-20-14(17)8-5-2/h12H,4-11H2,1-3H3","chembl_final.csv, Compound_foodDB.csv, drugbank_final.tsv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv",,CHEMBL118722,FDB003099,,DB12709,,HMDB0031094,,,6050,6050,"NS00022474, NS00069397",,284.1623786,True
CCOCC,8020.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, drugbank, drugCentral, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","ETHER, Ether, Diethyl ether, diethyl ether, 1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether, Diethyl Ether, Boron trifluoride etherate, Ethoxyethane;hydron;hexafluorophosphate, Ethoxyethane;trifluoroborane;hydrofluoride, Boron trifluoride diethyl etherate, Magnesium bromide ethyl etherate, Magnesium bromide diethyl etherate, Ethoxyethane;trifluoro(10B)borane, DIETHYL ETHER, Ethyl ether",C4H10O,74.07316494,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3","chembl_final.csv, Compound_foodDB.csv, drugbank_final.tsv, drugCentral_final.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL16264,FDB004482,,DB13598,4417,HMDB0062326,,,"3283, 8000, 165253, 11344169, 517922, 9903262, 11010650, 16212759",3283,NS00001638,T3D0255,56.06260494,True
CC(=O)C(=O)[O-],2611.0,0,0,0,0,0,0,0,0,0,1,0,"chembl, PubChem","PYRUVATE SODIUM, Sodium pyruvate, Lithium pyruvate, Potassium pyruvate, Sodium;2-hydroxyprop-2-enoate",C3H3NaO3,109.998,DAEPDZWVDSPTHF-UHFFFAOYSA-M,"chembl_final.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv",,CHEMBL181886,,,,,,,,"23662274, 23663618, 23678876, 23699158",,,,91.98744,True
Cc1ccccc1,2582.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, drugbank, drugCentral, HMDB, PubChem, PubChem Lite, NORMAN, T3DB","TOLUENE, Toluene, toluene, o-Tolylmagnesium chloride, Benzene toluene, Toluene formaldehyde, Benzylmagnesium chloride, Magnesium, bromo(4-methylphenyl)-, Magnesium, chloro(4-methylphenyl)-, Toluene-D8, Benzylbromomagnesium, o-Tolylmagnesium Bromide, Toluene-d3, Tetrabenzylzirconium, Tetrabenzylhafnium, m-Tolylmagnesium chloride, Benzylzinc bromide, Dibenzylmagnesium, Hafnium(4+);methanidylbenzene, Bromozincylium; phenylmethanide, Magnesium;methanidylbenzene, Benzylzinc(II) bromide, Benzylzinc chloride, Methylbenzene-d5, Methyl-13C-benzene, Toluene-4-13C, Zinc, chloro(phenylmethyl)-, methyl(1,2,3,4,5,6-13C6)cyclohexatriene, Methylbenzene-13C7",C7H8,92.06260026,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","chembl_final.csv, Compound_foodDB.csv, drugbank_final.tsv, drugCentral_final.csv, HMDB_5.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv, PubChemLite_31Oct2020_exposomics.csv, susdat_2022-01-18-104316.csv, toxins.csv",,CHEMBL9113,FDB012454,,DB11558,5635,HMDB0034168,,,"1140, 118563, 160055, 168314, 2733352, 3644322, 11829629, 74861, 74118, 101919, 101983, 520121, 4131672, 4384483, 4443518, 5325585, 6093684, 6101044, 6536830, 9856123, 11240947, 11815823, 12205509, 12205510, 15974380, 71309102, 71310327",1140,NS00008096,T3D0071,74.05204026,True
CCC(=O)[O-],21.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, FoodDB, PubChem","SODIUM PROPIONATE, Potassium propionate, Sodium propionate, Lithium propionate, Sodium propionate-13C3, Sodium propionate-2,3-13C2, Sodium;(113C)propanoate, Sodium propionate-2-13C, Cesium propionate, Sodium propionate-3-13C, Sodium propionate-1,2-13C2, Sodium propionate-d5",C3H5NaO2,96.0187,"InChI=1S/C3H6O2.K/c1-2-3(4)5;/h2H2,1H3,(H,4,5);/q;+1/p-1","chembl_final.csv, Compound_foodDB.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_jcooafRXkeumxRncm6RQ9h8oSUgft4859RyUde4NhnTuFLo_Agrochemical Information.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_QgXnplJQN-wAwr_bPaP28bkuVU7Q_uuSkbfw3oqm4t-Kv94_Food Additives and Ingredients.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv",,"CHEMBL500826, CHEMBL3989705","FDB008286, FDB015271",,,,,,,"2723816, 23663619, 23689528, 16213474, 16213608, 23666808, 23666810, 23693496, 23696286, 23696293, 71309048",,,,78.00814,True
CCCC(=O)[O-],1576.0,0,0,0,0,0,0,0,0,0,0,0,"chembl, PubChem","SODIUM BUTYRATE, Sodium butyrate, Sodium butyrate-2-13C, Sodium butyrate-13C4, Sodium butyrate-2,4-13C2, Sodium butyrate-4-13C, Sodium butyrate-1-13C, Sodium (1,2-~13~C_2_)butanoate",C4H7NaO2,110.034,MFBOGIVSZKQAPD-UHFFFAOYSA-M,"chembl_final.csv, PubChem_compound_list_4aZEBdHstFCDfjxnvh91TTqUBfR7Malz01ayP8hHoD7IXpw_Pharmacology and Biochemistry.csv, PubChem_compound_list_ElW39hmIfDRLGvQDdnu9KfLxhpHCBfzVhvDnmZ3h9Zid-Mk_Use and Manufacturing.csv, PubChem_compound_list_lNMxcOoOj7K4nAeFhf1OrwFxuhG_tnPcCflokBLoepES8UY_Associated Disorders and Diseases.csv, PubChem_compound_list_PXqYPbcZ0qXlj9CWUu6ZvNZkmgRUnQ0Ldy4WR2w_BEZsJjg_Toxicity.csv, PubChem_compound_list_QAflQMAEpbiSkqeLJfPuoaF5IxmHYmccHTl8UAYoblEGMVI_Safety and Hazards.csv, PubChem_compound_list_yY5syRPydk5BZHR99gU9V3KKKur9aki6Mp9T9imOQfcpl30_Drug and Medication Information.csv",,CHEMBL62381,,,,,,,,"5222465, 23696275, 23696281, 23696288, 23696289, 23719282, 71309170",,,,92.02344,True
